source,rss_url
Donga,https://rss.donga.com/total.xml
BBC News,http://feeds.bbci.co.uk/news/rss.xml
CNN,http://rss.cnn.com/rss/edition.rss
The New York Times,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
The Guardian,https://www.theguardian.com/international/rss
NPR News,https://feeds.npr.org/1001/rss.xml
Al Jazeera,https://www.aljazeera.com/xml/rss/all.xml
ABC News,https://abcnews.go.com/abcnews/topstories
